 python task3/inverted_index.py

Файл индекса inverted_index.txt не найден
Обработан документ 0001: 1187 терминов
Обработан документ 0002: 797 терминов
Обработан документ 0003: 668 терминов
Обработан документ 0004: 908 терминов
Обработан документ 0005: 925 терминов
Обработан документ 0006: 873 терминов
Обработан документ 0007: 722 терминов
Обработан документ 0008: 813 терминов
Обработан документ 0009: 956 терминов
Обработан документ 0010: 906 терминов
Обработан документ 0011: 997 терминов
Обработан документ 0012: 859 терминов
Обработан документ 0013: 847 терминов
Обработан документ 0014: 856 терминов
Обработан документ 0015: 1560 терминов
Обработан документ 0016: 1803 терминов
Обработан документ 0017: 615 терминов
Обработан документ 0018: 840 терминов
Обработан документ 0019: 698 терминов
Обработан документ 0020: 553 терминов
Обработан документ 0021: 860 терминов
Обработан документ 0022: 1039 терминов
Обработан документ 0023: 695 терминов
Обработан документ 0024: 819 терминов
Обработан документ 0025: 831 терминов
Обработан документ 0026: 1295 терминов
Обработан документ 0027: 999 терминов
Обработан документ 0028: 1790 терминов
Обработан документ 0029: 1599 терминов
Обработан документ 0030: 1822 терминов
Обработан документ 0031: 662 терминов
Обработан документ 0032: 677 терминов
Обработан документ 0033: 757 терминов
Обработан документ 0034: 747 терминов
Обработан документ 0035: 547 терминов
Обработан документ 0036: 744 терминов
Обработан документ 0037: 1073 терминов
Обработан документ 0038: 1895 терминов
Обработан документ 0039: 772 терминов
Обработан документ 0040: 1427 терминов
Обработан документ 0041: 840 терминов
Обработан документ 0042: 533 терминов
Обработан документ 0043: 1019 терминов
Обработан документ 0044: 1172 терминов
Обработан документ 0045: 1655 терминов
Обработан документ 0046: 1772 терминов
Обработан документ 0047: 1418 терминов
Обработан документ 0048: 1649 терминов
Обработан документ 0049: 745 терминов
Обработан документ 0050: 1409 терминов
Обработан документ 0051: 1281 терминов
Обработан документ 0052: 1503 терминов
Обработан документ 0053: 1785 терминов
Обработан документ 0054: 2945 терминов
Обработан документ 0055: 888 терминов
Обработан документ 0056: 837 терминов
Обработан документ 0057: 860 терминов
Обработан документ 0058: 804 терминов
Обработан документ 0059: 764 терминов
Обработан документ 0060: 760 терминов
Обработан документ 0061: 1291 терминов
Обработан документ 0062: 1132 терминов
Обработан документ 0063: 895 терминов
Обработан документ 0064: 799 терминов
Обработан документ 0065: 952 терминов
Обработан документ 0066: 2133 терминов
Обработан документ 0067: 861 терминов
Обработан документ 0068: 963 терминов
Обработан документ 0069: 914 терминов
Обработан документ 0070: 1868 терминов
Обработан документ 0071: 749 терминов
Обработан документ 0072: 759 терминов
Обработан документ 0073: 829 терминов
Обработан документ 0074: 878 терминов
Обработан документ 0075: 842 терминов
Обработан документ 0076: 926 терминов
Обработан документ 0077: 1594 терминов
Обработан документ 0078: 938 терминов
Обработан документ 0079: 1346 терминов
Обработан документ 0080: 812 терминов
Обработан документ 0081: 1004 терминов
Обработан документ 0082: 693 терминов
Обработан документ 0083: 562 терминов
Обработан документ 0084: 1585 терминов
Обработан документ 0085: 1109 терминов
Обработан документ 0086: 610 терминов
